"","teamind01","teamind02","teamind03","teamind04","teamind05","teamind06","teamind07","teamind08","teamind09","teamind10","teamind11","teamind12","teamind13","teamind14","teamind15","teamind16","teamind17","teamind18","teamind19","teamind20"
"2",5,4,3,4,3,4,5,4,3,3,5,2,5,4,3,4,3,5,5,4
"4",4,5,3,5,1,3,5,3,3,3,1,1,3,3,5,4,1,3,5,5
"5",5,2,4,5,3,4,4,3,3,4,3,4,3,3,5,4,3,4,5,4
"6",5,5,4,5,2,4,4,4,5,1,3,4,5,5,5,4,4,5,4,5
"7",3,4,3,3,2,4,2,4,3,3,3,1,3,4,4,3,1,2,4,3
"8",3,1,3,2,3,1,3,1,2,5,4,4,3,4,4,3,5,4,5,4
"9",4,4,4,3,3,3,3,2,3,3,3,2,4,4,4,3,4,3,4,4
"10",5,1,4,5,5,4,5,3,5,4,5,5,5,5,5,2,1,5,4,5
"11",5,4,1,5,3,2,3,1,5,1,2,1,5,4,5,4,4,5,5,5
"12",3,4,4,4,4,3,5,5,5,3,5,1,5,4,5,5,3,5,5,4
"13",4,4,4,4,2,2,4,1,4,1,3,1,4,3,4,3,3,3,4,3
"14",4,5,5,5,1,3,5,5,3,4,3,2,4,3,4,5,3,5,5,5
"15",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"16",4,4,3,4,3,3,4,3,4,4,3,2,4,4,3,4,2,4,4,4
"17",3,1,5,4,3,4,5,2,4,4,4,3,3,3,3,4,2,3,4,5
"18",4,4,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3
"19",4,3,3,4,3,3,4,3,4,2,3,3,4,4,5,3,4,5,4,4
"20",3,5,3,5,3,3,3,5,3,3,3,3,5,3,3,1,3,3,5,5
"21",3,5,4,5,2,5,5,2,2,3,3,2,4,4,4,4,3,4,5,5
"22",5,4,3,4,3,3,4,4,5,3,3,2,4,3,5,2,3,3,5,4
"23",4,3,3,1,3,1,5,3,5,1,5,4,3,4,5,3,5,3,5,5
"24",5,4,4,1,4,4,3,2,5,4,4,5,5,5,2,1,5,5,5,3
"25",5,5,2,4,4,4,3,3,5,3,5,2,5,3,5,4,4,4,5,4
"26",4,3,2,4,4,2,4,2,4,3,4,3,3,4,4,3,3,4,5,5
"27",4,3,3,3,2,3,4,4,4,3,5,3,3,4,4,4,4,4,4,4
"28",5,3,2,2,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3
"29",5,4,1,3,3,1,5,3,5,2,1,2,5,5,5,3,3,5,5,4
"30",5,4,2,4,3,5,5,4,5,4,3,5,4,5,4,2,4,5,5,5
"31",5,3,2,5,3,5,5,5,4,4,3,1,3,5,4,5,4,5,5,4
"32",4,4,4,4,4,4,4,3,4,4,5,2,4,4,5,4,3,4,4,4
"33",5,3,2,4,4,3,5,2,5,4,5,2,4,4,5,5,3,5,5,4
"34",4,4,4,4,3,4,4,4,4,1,3,5,4,4,4,4,3,3,5,3
"35",3,3,5,3,3,3,3,2,4,3,3,3,3,2,4,2,3,3,5,3
"36",1,3,5,5,1,5,5,2,1,5,5,1,1,1,5,1,1,1,5,2
"37",5,3,2,4,4,3,3,3,5,1,2,3,5,5,4,3,5,5,5,5
"38",4,4,2,4,3,2,5,3,4,3,5,2,4,4,4,4,4,5,5,4
"39",5,5,4,5,5,5,5,5,5,4,2,5,5,5,5,5,1,5,4,5
"41",5,5,5,5,1,4,5,5,4,5,4,1,5,3,5,5,3,5,5,5
"42",5,3,4,5,2,4,5,4,4,2,4,5,4,4,4,3,3,3,5,4
"43",5,4,4,5,1,5,5,3,5,5,3,3,5,5,5,5,3,5,5,5
"44",3,2,3,3,3,3,2,2,3,3,4,3,4,3,4,3,4,3,4,4
"45",5,2,4,4,2,4,1,3,3,3,2,2,4,4,5,4,2,3,5,4
"46",5,5,1,5,2,4,5,5,5,3,5,3,5,4,5,5,4,5,5,4
"47",4,2,3,2,2,2,2,3,4,2,5,2,5,5,5,2,4,5,4,1
"48",5,3,3,3,2,3,4,3,4,3,3,4,5,4,5,2,3,4,5,4
"49",5,3,4,5,1,3,5,5,5,3,3,2,5,5,5,2,5,4,5,5
"50",5,4,1,5,2,1,5,2,5,5,5,5,5,5,5,4,4,5,5,5
"51",5,5,2,5,3,4,5,4,5,2,4,4,5,5,4,5,4,5,5,5
"52",3,3,3,5,3,3,3,3,3,5,3,1,3,3,3,1,1,3,3,5
"53",5,5,1,5,1,5,5,4,5,4,1,3,5,5,5,4,3,5,5,5
"54",4,3,3,4,2,2,5,3,4,4,4,3,4,3,5,2,3,3,4,4
"55",3,2,3,2,2,2,4,3,4,2,5,2,5,4,5,3,4,4,4,4
"56",2,4,4,4,4,2,4,3,3,3,3,4,5,4,4,4,2,2,4,3
"57",5,4,2,4,4,2,4,5,5,5,4,1,5,5,5,4,5,5,4,5
"59",5,5,3,5,3,2,3,3,3,4,2,4,4,5,5,3,4,4,4,4
"60",5,2,3,3,4,2,3,2,5,2,4,2,5,4,5,4,5,4,4,4
"61",5,5,2,4,3,1,4,3,4,3,5,1,4,5,5,2,4,5,5,5
"62",5,4,3,3,2,4,5,3,5,4,5,4,5,5,5,2,5,5,5,4
"63",4,3,3,3,2,4,2,2,4,1,4,2,4,3,4,3,2,2,4,3
"64",4,2,3,4,3,2,2,2,4,3,5,2,3,4,3,2,2,2,4,4
"65",3,5,3,3,3,3,4,3,3,4,5,1,5,4,5,4,4,5,4,5
"66",5,4,3,5,2,2,4,2,5,3,5,1,3,5,5,3,5,5,4,4
"67",4,5,5,4,2,4,3,2,4,4,3,1,3,4,5,3,4,3,2,3
"68",3,3,4,2,3,3,4,2,2,3,4,2,2,4,4,2,4,2,3,3
"69",5,4,3,4,1,5,4,1,4,3,3,2,4,1,5,3,4,1,4,4
"70",5,2,2,4,2,2,4,2,4,4,2,4,4,4,4,4,3,4,4,3
"71",4,5,3,4,3,4,4,1,5,1,3,2,5,5,4,3,5,5,5,4
"72",5,4,5,5,1,4,5,5,2,4,5,1,3,3,3,3,3,5,5,5
"73",5,1,5,5,1,1,5,2,5,1,3,3,5,5,5,1,4,5,5,1
"74",5,4,4,3,5,4,5,1,3,2,4,2,5,3,5,1,3,5,4,4
"75",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"76",4,2,2,4,4,3,4,3,3,4,3,3,4,4,4,3,1,4,4,5
"77",5,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,5,4,4
"78",4,4,5,2,4,4,5,2,4,2,5,4,5,5,5,3,4,4,5,4
"79",5,3,3,4,3,4,4,1,5,3,5,5,5,5,5,4,5,5,4,4
"80",5,4,3,3,4,4,5,4,5,3,2,5,5,5,5,4,4,4,5,4
"81",3,3,3,4,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4
"83",5,2,4,3,3,1,5,4,5,2,5,5,3,4,4,2,4,4,5,4
"84",2,4,3,4,2,4,3,4,2,4,2,3,3,3,2,3,3,3,4,4
"85",3,4,2,4,2,4,3,4,4,2,3,2,3,2,4,4,3,2,3,5
"86",4,4,4,4,3,4,3,3,5,4,3,4,4,4,4,4,3,3,4,3
"87",5,1,2,4,4,2,4,4,5,4,4,4,5,5,5,3,4,5,4,4
"88",5,4,4,3,2,4,3,4,5,3,5,4,4,5,5,4,4,3,4,2
"89",4,3,4,4,4,3,4,4,4,4,2,2,4,4,4,4,4,5,4,4
"90",4,5,5,5,2,3,5,4,3,4,4,2,4,4,4,5,2,4,5,5
"91",5,5,1,5,2,1,5,4,5,2,3,5,4,5,5,5,4,5,5,5
"92",3,3,4,2,2,3,3,2,5,4,5,3,2,4,5,2,3,3,3,3
"93",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
"94",3,3,3,4,3,3,4,3,4,3,3,2,5,3,5,3,3,5,4,5
"95",4,4,3,3,3,3,5,4,3,4,3,3,5,4,3,3,3,5,4,4
"96",4,3,3,5,2,4,5,1,3,4,4,2,4,4,4,2,4,2,4,2
"97",4,2,4,2,2,4,2,2,5,1,4,2,4,4,5,1,4,5,5,2
"98",4,4,3,4,2,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4
"99",3,3,3,3,3,3,4,3,3,2,3,2,4,4,4,3,4,2,4,3
"100",4,4,4,5,2,5,5,5,3,5,2,1,4,3,3,4,3,5,5,5
"101",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"102",5,4,3,4,3,2,4,4,5,3,3,4,4,5,4,3,4,3,5,4
"103",3,4,4,4,2,4,4,4,4,4,4,2,4,3,4,4,3,3,4,4
"104",5,3,2,3,1,4,4,1,5,5,3,1,5,5,4,5,5,3,3,3
"105",5,5,5,5,1,5,4,2,5,5,5,5,4,3,5,5,5,5,5,5
"106",5,3,3,4,3,3,4,4,2,1,5,4,5,5,5,4,3,5,4,3
"107",5,4,3,4,2,4,4,2,3,4,5,4,4,3,4,3,4,5,5,4
"108",5,3,4,5,3,5,5,2,5,4,3,4,4,5,4,4,3,5,5,4
"110",4,3,3,3,3,3,4,3,4,3,3,2,3,3,4,3,2,4,3,3
"112",2,3,3,5,3,4,3,4,5,4,3,1,3,3,3,3,3,3,4,3
"113",5,3,3,3,4,2,4,3,4,2,5,3,3,5,3,2,3,5,4,3
