"","teamind01","teamind02","teamind03","teamind04","teamind05","teamind06","teamind07","teamind08","teamind09","teamind10","teamind11","teamind12","teamind13","teamind14","teamind15","teamind16","teamind17","teamind18","teamind19","teamind20"
"529",3,4,3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4
"125",5,4,4,5,2,4,5,3,5,3,3,1,5,5,4,3,4,4,5,4
"29",5,4,1,3,3,1,5,3,5,2,1,2,5,5,5,3,3,5,5,4
"50",5,4,1,5,2,1,5,2,5,5,5,5,5,5,5,4,4,5,5,5
"306",4,5,4,4,3,4,5,1,5,4,5,1,4,3,5,2,4,5,5,5
"143",5,3,3,4,4,4,5,1,4,1,5,2,5,4,5,1,3,5,4,5
"248",3,4,4,5,2,5,4,5,5,5,3,4,5,5,5,1,3,3,5,4
"310",5,4,1,5,1,1,5,4,5,4,2,5,3,5,5,2,3,4,5,5
"324",4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,4,5,3
"581",4,3,2,5,3,2,5,4,4,2,3,2,4,4,5,3,4,3,4,4
"97",4,2,4,2,2,4,2,2,5,1,4,2,4,4,5,1,4,5,5,2
"12",3,4,4,4,4,3,5,5,5,3,5,1,5,4,5,5,3,5,5,4
"293",5,5,3,4,2,5,5,3,5,4,4,4,5,4,5,3,4,4,5,4
"448",5,3,4,4,3,3,5,3,4,4,1,2,4,4,4,3,3,4,4,4
"180",5,3,3,5,1,1,5,3,5,3,5,4,4,5,5,3,3,5,5,5
"289",5,4,3,4,4,3,4,5,3,2,5,2,4,4,5,4,4,5,5,4
"334",3,2,2,3,3,4,3,2,3,3,3,5,5,3,3,3,3,4,3,3
"59",5,5,3,5,3,2,3,3,3,4,2,4,4,5,5,3,4,4,4,4
"465",5,5,4,5,2,3,5,1,5,3,3,5,5,5,2,5,3,5,5,5
"555",4,3,3,3,4,2,4,3,4,5,5,2,3,5,3,4,5,3,4,4
"171",5,5,5,5,5,4,4,4,5,4,5,5,4,4,5,1,4,5,5,4
"142",4,4,4,4,2,3,4,3,3,4,2,2,4,2,2,4,3,4,4,4
"404",5,4,4,4,2,5,4,4,5,1,3,1,5,5,4,3,5,5,5,4
"455",4,4,2,4,2,2,4,3,5,2,5,5,5,2,5,4,4,4,4,4
"343",5,4,3,3,3,3,4,3,5,1,1,2,5,3,3,5,5,5,5,5
"73",5,1,5,5,1,1,5,2,5,1,3,3,5,5,5,1,4,5,5,1
"550",5,4,3,5,2,3,5,4,5,5,2,4,5,5,4,3,3,4,5,5
"327",5,3,4,3,3,3,5,3,3,3,4,2,4,3,4,3,2,3,5,3
"322",2,4,3,3,1,4,4,2,2,2,1,2,4,2,5,2,2,3,5,4
"60",5,2,3,3,4,2,3,2,5,2,4,2,5,4,5,4,5,4,4,4
"231",3,2,4,5,3,3,5,4,4,4,5,3,4,5,5,5,3,5,5,5
"210",4,2,2,2,4,2,1,3,4,2,4,5,4,4,5,2,3,4,2,1
"127",4,3,3,2,2,3,4,3,4,3,3,2,5,3,4,1,4,5,4,3
"162",4,2,2,5,3,1,4,1,3,5,4,1,5,4,5,4,4,5,5,5
"559",4,4,4,3,2,3,1,1,4,3,2,2,4,5,3,4,3,5,4,5
"41",5,5,5,5,1,4,5,5,4,5,4,1,5,3,5,5,3,5,5,5
"278",5,4,3,4,2,4,4,3,5,3,5,4,3,5,4,3,3,4,4,4
"294",4,4,4,5,2,2,4,2,4,4,5,4,4,3,4,4,4,4,4,4
"458",4,5,5,5,2,5,5,4,5,5,5,2,5,5,5,5,4,5,5,5
"214",5,3,1,4,5,2,3,1,4,1,3,4,4,3,2,3,1,4,4,4
"507",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"323",3,3,3,3,3,3,3,2,3,3,3,3,5,4,3,3,4,4,5,3
"93",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3
"26",4,3,2,4,4,2,4,2,4,3,4,3,3,4,4,3,3,4,5,5
"226",4,2,2,2,1,2,4,1,3,2,4,2,4,4,5,3,3,4,5,4
"114",3,3,5,3,3,4,3,3,3,3,2,1,3,3,3,4,2,3,4,3
"317",5,3,4,4,2,4,4,4,5,4,5,2,5,5,5,4,4,5,4,4
"252",4,2,3,2,2,4,4,2,3,4,4,2,3,4,5,3,4,3,4,4
"314",4,4,4,4,2,4,5,1,4,5,5,2,3,4,4,3,3,3,4,4
"270",3,4,2,4,2,3,4,3,3,4,4,1,4,3,4,3,4,3,3,4
"311",4,2,4,4,1,4,4,4,4,3,2,2,4,3,4,3,4,3,5,4
"336",5,4,4,3,2,2,1,3,5,3,4,2,5,4,5,4,4,3,4,3
"266",5,5,5,5,2,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5
"546",5,2,2,5,4,5,5,5,5,5,5,3,4,5,5,5,3,5,5,5
"95",4,4,3,3,3,3,5,4,3,4,3,3,5,4,3,3,3,5,4,4
